"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped"
0,0,-0.042871207,0.245080381,-0.512097227,-0.211251236,-0.32183195,0.0245564490000001,0.274593171,-0.0521675660000001,0.402277505,0.0360027250000001,0.13013303,0.16224608,0.156875315,-0.136559626,-0.11526916,-0.010316271,TRUE,"f1","1stO",70,"null"
0,0,-0.292766998593734,0.113789289628802,-0.519947655240392,-0.255505974408704,-0.738385685008068,-0.0865359477158647,0.289306320934118,-0.170792389746727,0.410804537992502,0.0367658708882968,0.138660062693344,0.163009226004588,0.165402347366919,-0.135796480012932,-0.106742126941334,-0.00955312476207325,FALSE,"null","null",299,"null"
0,0,-0.257377460416585,-0.0819153840544404,-0.573323664857464,-0.215792964756676,-0.417996796684366,0.0740783642600474,0.221167758676022,0.242019276492669,0.453020918744966,0.0405441203002948,0.180876443286942,0.166787474609031,0.207618728067963,-0.132018231641857,-0.0645257467271976,-0.00577487608387576,FALSE,"null","null",279,"null"
0,0,0.0641520099999062,0.246900632895918,-0.533873251543954,0.0474665110142181,-0.294456989402464,-0.0338634945499045,0.296714554402022,-0.088807870643032,0.582845520199969,0.052163063359065,0.310701045591034,0.178406418461864,0.337443329698923,-0.120399288077006,0.0652988550899873,0.00584406702579291,TRUE,"L","1stO",63,"null"
0,0,-0.30217280597337,0.0951747160037683,-0.665825762263342,-0.111442954758898,-0.528762612588441,-0.302784051408928,0.308007788488732,-0.156741353548089,0.415260364833659,0.0371646550768625,0.143115889882587,0.163408010272334,0.169858173920403,-0.135397696274414,-0.102286301030669,-0.00915434107894198,FALSE,"null","null",313,"null"
0,0,-0.174464293789305,0.169070797915633,-0.626583445104812,-0.128432956615477,-0.513644487233364,0.111140237135095,0.241778809975396,-0.0853530943471839,0.47021701755369,0.0420831236221019,0.198072542612502,0.168326478534036,0.224814827706879,-0.130479226927763,-0.0473296472343093,-0.00423587201582935,FALSE,"null","null",293,"null"
0,0,-0.197424179486212,0.149129424593404,-0.478840431654624,-0.134698871967439,-0.668277955278282,-0.0173574208041083,0.265964696658,-0.223786640434621,0.373044408606412,0.0333864436586986,0.100899933333614,0.159629798107212,0.12764221877321,-0.139175908349819,-0.144502256398817,-0.0129325529063963,FALSE,"null","null",280,"null"
0,0,-0.221095101376029,0.151022066911905,-0.484279748197991,-0.201507323334069,-0.50231914813997,0.0544685455978962,0.257023777297092,-0.0908325440523938,0.498366502517004,0.0446024247349639,0.226222027920718,0.170845779377628,0.252964312135275,-0.127959926278532,-0.0191801624610104,-0.00171657163586775,FALSE,"null","null",296,"null"
0,0,-0.256963370330458,-0.174435457933935,-0.372566770269033,0.00489400232345184,-0.607606627273892,-0.0704934381811875,0.221713225673587,0.175011819129912,0.484847580842131,0.0433925186047242,0.212703105370077,0.169635873870549,0.23944539042958,-0.129169832182912,-0.032699084754543,-0.00292647787473835,TRUE,"f2","2ndO",210,"null"
0,0,-0.369578138269996,0.157286176091573,-0.154091880815289,-0.196069935148893,-0.536749991516768,-0.0592171169914364,0.191658940066745,-0.292455187969208,0.535211866342261,0.0478999829748299,0.263067390879333,0.174143338272008,0.28980967611547,-0.124662369011158,0.0176652016524311,0.00158098630088636,TRUE,"f1","1stO",60,"null"
0,0,-0.222746278199194,0.133361322825896,-0.548546876949851,-0.234197054513147,-0.500891518932838,0.0270736941407939,0.265919555673988,-0.197805305464233,0.482296366010058,0.0431641919275588,0.210151890522788,0.169407547333412,0.236894174967219,-0.129398159700847,-0.0352502995201368,-0.00315480430803846,FALSE,"null","null",312,"null"
0,0,0.272730369260479,0.1888324722926,-0.40356234838821,-0.225575093034322,-0.475798390099445,0.0228492079786094,0.242787934153577,-0.221332289427342,0.642678990959241,0.0575179936416856,0.370534515683204,0.183761349019333,0.397276801020869,-0.11504435736558,0.125132325703058,0.0111989970129403,TRUE,"f1","1stO",63,"null"
0,0,-0.370893599866176,-0.125258628467247,-0.336088089467837,0.0940065302517951,-0.577699567659439,-0.0177055955687775,0.30122689730163,-0.0193692667614688,0.448741897363336,0.0401611597117526,0.176597422800334,0.166404515399079,0.203339707536603,-0.132401191497639,-0.0688047670263987,-0.00615783581031223,TRUE,"f2","1stO",59,"null"
0,0,0.153072388801008,0.302624268031535,-0.52661952125018,-0.242021911290222,-0.574657532695067,0.0109822258437316,0.250684788283864,0.0779978257423623,0.572242178348348,0.0512140935657736,0.300097704009457,0.177457448708791,0.326839988156185,-0.121348258157295,0.0546955138172935,0.00489509698572337,TRUE,"f1","1stO",58,"null"
0,0,-0.308483976122023,0.223957821335599,-0.538595214145573,0.116934780506886,-0.575919487890712,-0.109638621877011,0.276631473224971,0.15878463443608,0.438808917842196,0.0392721854944889,0.166664442652149,0.165515540948058,0.193406727797428,-0.133290165690164,-0.0787377473926195,-0.00704681023659455,TRUE,"f3","2ndO",193,"null"
0,0,-0.0502699508291109,0.239566309780079,-0.40525958464268,-0.222016213410348,-0.355485717160559,0.0360785265017615,0.267432650518578,-0.209250759413567,0.588820188556235,0.0526977796659007,0.316675714041587,0.178941134943153,0.343417998602474,-0.119864571546498,0.0712735240878255,0.00637878373075429,FALSE,"null","null",292,"null"
0,0,-0.179703572463745,0.202068740313254,-0.617014223006196,-0.119654225480817,-0.357913950945132,-0.00923806244142516,0.283487995508199,-0.118464889683526,0.485980275799887,0.0434938916732306,0.213835800274954,0.169737246801132,0.240578085350914,-0.129068459688784,-0.031566389178573,-0.002825104656202,FALSE,"null","null",303,"null"
0,0,-0.243515844380217,0.136838184953365,-0.493541966196,-0.234959467737744,-0.580812430304899,0.010534868871314,0.297573109731141,-0.160855283601341,0.408205172712913,0.0365332348791427,0.136060697731754,0.162776590459785,0.162802982478306,-0.136029116542172,-0.109341492502854,-0.00978576096152988,TRUE,"L","1stO",56,"null"
0,0,-0.461453724028946,-0.00979611063240825,-0.633145794737408,-0.165608733996001,-0.459886794862462,0.216537968627784,0.296831860283021,-0.159578525186014,0.379436548663414,0.0339585225290635,0.107292074281215,0.160201877845483,0.134034359217167,-0.138603829100675,-0.138110116164957,-0.0123604737719798,FALSE,"null","null",297,"null"
0,0,-0.181031525549129,0.163545227233766,-0.605705995723549,-0.198565345798153,-0.529442774756342,0.0505094747181984,0.276110667649569,-0.24303646290927,0.453082802806448,0.0405496587527803,0.180938327776832,0.166793013706152,0.207680612157519,-0.132012693059072,-0.0644638628720977,-0.00576933810570039,TRUE,"f3","1stO",60,"null"
0,0,-0.306256748879653,0.115333850692647,-0.573981766398543,-0.266538815902548,-0.779606173417919,-0.0819876088413731,0.203965491484492,0.235560973431503,0.361846895654673,0.0323842971939455,0.0897024207814625,0.158627652442174,0.1164447061727,-0.140178054268753,-0.155699769646774,-0.0139346993439212,FALSE,"null","null",302,"null"
0,0,-0.243440980807458,0.130226958342082,-0.541522352083642,-0.246634638872208,-0.519887254303499,0.0128782043667612,0.253630782313474,0.134739303878062,0.459090952823631,0.0410873715757415,0.186946477974137,0.167330726589418,0.213688762053528,-0.131474979729616,-0.058455712795966,-0.00523162471593949,FALSE,"null","null",282,"null"
0,0,-0.258238285736273,0.126643611126702,-0.539844124684036,-0.254998948674415,-0.656986873299008,-0.016940398021937,0.258706327923817,-0.255382506438711,0.427287454143558,0.0382410463331296,0.155142978219989,0.164484400965436,0.181885263860405,-0.134321305140742,-0.0902592110632156,-0.00807795049826046,TRUE,"L","1stO",54,"null"
0,0,-0.281076206900767,0.119520900136466,-0.487095750254757,-0.258986787841813,-0.606833867141111,-0.025104134564545,0.240953170068303,-0.244996925023212,0.411763013005044,0.0368516517531659,0.139618538400279,0.163095006976364,0.166360823258639,-0.135710699646123,-0.105783652344222,-0.00946734448462447,TRUE,"f1","1stO",62,"null"
0,0,-0.350125236237599,0.111587010087415,-0.647784497598706,-0.27208373666554,-0.834525487749009,-0.0760395271685217,0.308562083348622,-0.178586360632163,0.334214575693934,0.0299112809196209,0.0620701013317594,0.156154636258099,0.0888123863822749,-0.14265107033291,-0.183332088974402,-0.016407715099147,FALSE,"null","null",293,"null"
0,0,-0.292677876000605,0.134795958049689,-0.516164981934274,-0.232297687473391,-0.570930284898512,0.0177987663233914,0.246912377478592,-0.214640068844316,0.444665074072847,0.0397962952935923,0.172520599361921,0.16603965045405,0.199262884133749,-0.132766056275513,-0.0728815915771482,-0.0065227011226764,FALSE,"null","null",310,"null"
0,0,-0.0560239224426407,0.237545112296583,-0.527429728559645,-0.187986333502718,-0.345844851738797,0.0427380447949799,0.259712732759515,-0.0667882477002279,0.57455137762006,0.0514207605191007,0.302406901971646,0.177664115503395,0.32914918777716,-0.121141591044133,0.0570047121287458,0.0051017639401616,FALSE,"null","null",319,"null"
0,0,-0.307440921098005,0.115695975643146,-0.519795813787887,-0.0228047475097973,-0.507823843804666,-0.24178273919826,0.277711479868579,-0.00126025724969226,0.422981769567266,0.0378556994623488,0.150837294630874,0.164099054119085,0.177579579552259,-0.134706652162204,-0.0945648956122453,-0.00846329653183313,FALSE,"null","null",308,"null"
