"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.109261377,-1.790981176,-0.192776986634974,-1.6351786242918,-0.629377171368484,-1.99572399072874,-0.604444550367001,-1.78417060590409,0.156,-1.85,0.241684334,-1.761829709,-0.029648634,-1.633851506,-0.004814525,-1.932821851,-0.276147493,-1.804843648,TRUE,"f1","1stO",70,"null",225,1,322,0.2,-0.109261377,-1.790981176,0
0.31020947,-1.643993791,0.373388322217835,-1.45531164239421,-0.176199355706592,-1.65743842953754,-0.0688162557827772,-1.52725385986036,0.576,-1.85,0.777158374,-1.666626878,0.524917405,-1.50422462,0.510393408,-1.803872836,0.258152439,-1.641470578,TRUE,"f2","f3",243,"null",197,2,292,0.2,0.31020947,-1.643993791,0.131307453491186
0.518203646,-2.024468603,0.460338860510806,-1.78540702705412,-0.0161739285512552,-1.99830471133845,0.0448577157455464,-1.90149296291845,0.814,-1.85,1.073533497,-2.141345462,0.850188396,-1.94105326,0.788402812,-2.234621892,0.565057711,-2.03432969,TRUE,"f2","2ndO",195,"null",178,3,275,0.2,0.518203646,-2.024468603,0.290311612183924
-0.148359921,-1.877852544,-0.215415189906783,-1.72183136734873,-0.539881752516518,-2.30693219281643,-0.464057952835879,-2.0654143175065,0.156,-1.85,0.351555658,-1.609520978,0.0516996319999998,-1.600227784,0.193579503,-1.864557317,-0.106276524,-1.855264123,TRUE,"L","1stO",63,"null",223,4,322,0.2,-0.148359921,-1.877852544,-0.409741303826888
0.118124582,-1.646711247,-0.0386442049569018,-1.43578707928016,-0.406885118435887,-1.70320081386666,-0.487901914419828,-1.48563684876725,0.366,-1.85,0.628349232,-1.694769278,0.383752706,-1.521066834,0.355620239,-1.819744861,0.111023713,-1.646042417,TRUE,"f1","2ndO",226,"null",211,5,307,0.2,0.118124582,-1.646711247,0.176788074179178
0.310424162,-1.800254586,0.201642834697314,-1.61158107688759,-0.134249679892511,-2.05710031999132,-0.0793623823007654,-1.86421176043084,0.590000000000001,-1.85,0.857082774,-1.642125449,0.565825994,-1.570226298,0.649187893,-1.858411645,0.357931113,-1.786512494,TRUE,"L","2ndO",198,"null",192,7,291,0.2,0.310424162,-1.800254586,-0.198703994640669
0.494030302,-1.643939951,0.35737863380459,-1.46238212605479,0.0479715416386071,-1.88280776602675,0.102882248352094,-1.66405032421623,0.771999999999999,-1.85,0.976845226,-1.549240406,0.693024459,-1.452051042,0.750766384,-1.746441718,0.466945618,-1.649252354,TRUE,"L","2ndO",185,"null",180,8,278,0.2,0.494030302,-1.643939951,-0.110806531386097
0.284975945,-1.755959839,0.307443812079895,-1.60062111868883,-0.111564008306148,-1.94626182279313,-0.156719513613104,-1.82514830011281,0.576,-1.85,0.8565233,-1.681243227,0.579464021,-1.566186042,0.618351215,-1.863655009,0.341291936,-1.748597824,TRUE,"L","2ndO",200,"null",195,9,292,0.2,0.284975945,-1.755959839,-0.0471145534549961
0.302770213,-1.955915371,0.137140023847457,-1.72250703997949,-0.170342025862277,-1.99086055414029,-0.116715890341882,-1.82156192404774,0.604,-1.85,0.813075489,-2.062049121,0.589254562,-1.862288783,0.528167498,-2.156003561,0.304346571,-1.956243223,TRUE,"L","2ndO",200,"null",193,10,290,0.2,0.302770213,-1.955915371,0.2879327915975
0.003102115,-1.657975595,0.216398548569776,-1.47908617457915,-0.387793009807095,-1.745286053612,-0.478249450636512,-1.65733511017216,0.31,-1.85,0.509215042,-1.60622845,0.235497766,-1.483432469,0.266011965,-1.781876574,-0.00770531099999997,-1.659080593,TRUE,"f1","2ndO",220,"null",212,14,311,0.2,0.003102115,-1.657975595,-0.0190150009671928
