"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped"
0,0,-0.066059896,0.260629307,-0.461978915,-0.266197618,-0.441333902,0.024009927,0.362542436,-0.0486870640000001,0.43422677,0.0394832270000001,0.161903444,0.165340314,0.189069672,-0.133427147,-0.083253653,-0.00757005999999993,TRUE,"f1","1stO",70,"null"
0,0,-0.250518119066415,0.146184126970861,-0.452025586468506,-0.245626252686221,-0.610170688726497,-0.022379096793467,0.397211712725059,-0.15696714087309,0.450225683453163,0.0409379708694877,0.17790235754118,0.166795058324071,0.205068586159783,-0.131972403287383,-0.0672547397522005,-0.00611531583279945,TRUE,"L","2ndO",205,"null"
0,0,-0.144707502851972,0.226086877168884,-0.439179244542269,-0.259510354195109,-0.515189233494518,0.0176872902346944,0.335845022308111,0.262187013858453,0.52700933279326,0.0479197289420796,0.254686006828404,0.173776815625069,0.281852235451842,-0.124990645583067,0.00952890948698577,0.000866441099922543,TRUE,"f2","f3",165,"null"
0,0,0.108317875600111,0.257048178852709,-0.475446604245445,0.00208244446310762,-0.412244187884108,0.0641421004083384,0.387619693572129,-0.0893867431273994,0.593579363436344,0.0539727864983374,0.32125603743966,0.179829873602923,0.348422265512423,-0.11893758774287,0.0760989404506024,0.00691949900670804,TRUE,"L","1stO",63,"null"
0,0,-0.176287285355504,0.208559954595354,-0.433114773247339,-0.182570326459095,-0.536760893793639,-0.055520832404304,0.401493443287716,-0.140161333460838,0.478768943669218,0.0435333429199721,0.206445619126058,0.169390429605031,0.233611846487026,-0.129377031889377,-0.0387114792091964,-0.00351994438551017,TRUE,"f1","2ndO",225,"null"
0,0,-0.00542488281952499,0.273667286569144,-0.501379241579135,-0.151102053061056,-0.449928908196844,0.123339259134918,0.361331572102325,-0.0900588922151656,0.545889709978214,0.0496364775852809,0.273566384554508,0.175493564607744,0.300732612541231,-0.123273896939275,0.0284092871175253,0.00258319008318788,TRUE,"L","2ndO",197,"null"
0,0,-0.150737800885689,0.212860475996618,-0.495487839878899,-0.219085992483002,-0.515960637976281,0.0660906646469132,0.348464833542168,-0.219137247454294,0.440033419145767,0.0400112120579726,0.167710093502746,0.165868299171736,0.194876321490634,-0.132899162707331,-0.0774470040576995,-0.00704207459806104,TRUE,"f2","f3",173,"null"
0,0,-0.0507836876197839,0.260835203132089,-0.424785291857897,-0.196079247171525,-0.467440895370685,0.0833409996809487,0.371043415962582,-0.09166278200121,0.540622495337468,0.0491575420481693,0.2682991700684,0.175014629043058,0.295465398395448,-0.123752832410781,0.0231420721268865,0.00210425461593827,TRUE,"L","f1",182,"null"
0,0,-0.184514399028828,0.210542525046209,-0.43138716671697,-0.265706936019959,-0.555149905315293,0.000566197049551159,0.332867489927617,0.197827567727311,0.489961859100795,0.044551088603355,0.217638533626551,0.170408176359943,0.244804761986932,-0.128359285115036,-0.0275185641622403,-0.00250219860121536,TRUE,"f2","f3",155,"null"
0,0,-0.116558155034188,0.244563921780351,-0.396521403387136,-0.246648841796657,-0.484407317867029,0.0345197972010148,0.399937846012629,-0.275815831732007,0.539163854789861,0.0490249112666719,0.266840528980018,0.174881998399286,0.294006756958626,-0.123885463615563,0.0216834321484524,0.00197162354275216,TRUE,"f1","1stO",60,"null"
